route_id	substrate	substrate_label	corrected_ATP_auxiliary_equivalents_per_product_Cmol	corrected_NADH_auxiliary_equivalents_per_product_Cmol	corrected_NADPH_auxiliary_equivalents_per_product_Cmol	corrected_total_reducing_auxiliary_equivalents_per_product_Cmol	corrected_positive_auxiliary_cofactor_burden	cofactor_accounting_basis	stage
099c88f9591e73af	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
495faaa229a24b6a	co2	CO₂	2.0	0.0	2.5	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
3b2bf40ee2727f2a	co2	CO₂	4.0	0.0	2.5	2.5	6.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
4f26a8f02b67193a	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
d499a9f88845fe75	co2	CO₂	2.0	1.0	1.5	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
5ee3f16a16d39282	co2	CO₂	0.5	2.5	0.0	2.5	3.0	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
7c8e8cfaa3e2c1ce	co2	CO₂	1.5	2.5	0.0	2.5	4.0	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
74903bb44c82b7ed	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	retained
19b76adde06fe58f	co2	CO₂	1.0	0.0	2.5	2.5	3.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
b315fe4cdcd51926	co2	CO₂	4.75	0.0	2.5	2.5	7.25	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
0b2d133569f29296	co2	CO₂	3.0	2.5	0.0	2.5	5.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	retained
b3b1cd83e706199d	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
af0f357310039c6f	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
d9ca1fee7f83bcc3	co2	CO₂	3.0	0.5	2.0	2.5	5.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
7121cf6cc60bec89	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
7fbdcbd6d82c95fd	co2	CO₂	2.0	0.5	2.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	retained
229bfb4dd033e3c0	co2	CO₂	0.5	1.5	1.0	2.5	3.0	CO2: pathway TSV R_EX component (source summary duplicates same component)	retained
d6dc43a8d538307c	co2	CO₂	1.0	1.5	1.0	2.5	3.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	step_gt_20
a642d2025bcf1021	co2	CO₂	1.0	1.5	1.0	2.5	3.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	retained
0a926fb60476ba63	co2	CO₂	1.5	0.5	2.0	2.5	4.0	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
aa871d0bcb0cb176	co2	CO₂	2.0	1.5	1.0	2.5	4.5	CO2: pathway TSV R_EX component (source summary duplicates same component)	thermodynamics_excluded
