substrate	candidate_number	reaction_code	reaction_mnemonic	reaction_id	reaction_name_en	reaction_equation_id	candidate_pool_size	mapping_basis
co2	1	01_CCR	CCR	RXN-8957	Crotonyl-CoA carboxylase/reductase	CARBON__45__DIOXIDE_c + CROTONYL__45__COA_c + NADPH_c --> CPD__45__9406_c + NADP_c	49	model candidate index + interpretable reaction mnemonic
co2	2	02_CCR	CCR	RXN-18384	Acryloyl-CoA carboxylase/reductase	ACRYLYL__45__COA_c + CARBON__45__DIOXIDE_c + NADPH_c --> METHYL__45__MALONYL__45__COA_c + NADP_c	49	model candidate index + interpretable reaction mnemonic
co2	3	03_ACC	ACC	ACETYL-COA-CARBOXYLTRANSFER-RXN	Acetyl-CoA carboxylase	ACETYL__45__COA_c + ATP_c + HCO3_c --> ADP_c + MALONYL__45__COA_c + PROTON_c + Pi_c	49	model candidate index + interpretable reaction mnemonic
co2	4	04_RBC	RBC	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	RuBisCO carboxylation	CARBON__45__DIOXIDE_c + D__45__RIBULOSE__45__15__45__P2_c + WATER_c --> 2.0 G3P_c + 2.0 PROTON_c	49	model candidate index + interpretable reaction mnemonic
co2	5	05_PCC	PCC	PROPIONYL-COA-CARBOXY-RXN	Propionyl-CoA carboxylase	ATP_c + HCO3_c + PROPIONYL__45__COA_c --> ADP_c + D__45__METHYL__45__MALONYL__45__COA_c + PROTON_c + Pi_c	49	model candidate index + interpretable reaction mnemonic
co2	6	06_PPC	PPC	PEPCARBOX-RXN	Phosphoenolpyruvate carboxylase	HCO3_c + PHOSPHO__45__ENOL__45__PYRUVATE_c --> OXALACETIC_ACID_c + Pi_c	49	model candidate index + interpretable reaction mnemonic
co2	7	07_CFI	CFI	RXN-8457	2-Oxoglutarate carboxylation	ATP_c + CARBON__45__DIOXIDE_c + WATER_c + _2__45__KETOGLUTARATE_c --> ADP_c + OXALO__45__SUCCINATE_c + 2.0 PROTON_c + Pi_c	49	model candidate index + interpretable reaction mnemonic
co2	8	08_PYC	PYC	PYRUVATE-CARBOXYLASE-RXN	Pyruvate carboxylase	ATP_c + HCO3_c + PYRUVATE_c --> ADP_c + OXALACETIC_ACID_c + PROTON_c + Pi_c	49	model candidate index + interpretable reaction mnemonic
co2	9	09_PFOR	PFOR	PYRUVATE-DEHYDROGENASE-NADP+-RXN	Acetyl-CoA reductive carboxylation to pyruvate	ACETYL__45__COA_c + CARBON__45__DIOXIDE_c + NADPH_c --> CO__45__A_c + NADP_c + PYRUVATE_c	49	model candidate index + interpretable reaction mnemonic
co2	10	10_ICC	ICC	ISOCITDEH-RXN	2-Oxoglutarate reductive carboxylation	CARBON__45__DIOXIDE_c + NADPH_c + _2__45__KETOGLUTARATE_c --> NADP_c + THREO__45__DS__45__ISO__45__CITRATE_c	49	model candidate index + interpretable reaction mnemonic
co2	11	11_KOR	KOR	OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	Succinyl-CoA reductive carboxylation	CARBON__45__DIOXIDE_c + NADPH_c + SUC__45__COA_c --> CO__45__A_c + NADP_c + _2__45__KETOGLUTARATE_c	49	model candidate index + interpretable reaction mnemonic
co2	12	12_ECH	ECH	RXN-13029	Butyryl-CoA carboxylation	BUTYRYL__45__COA_c + CARBON__45__DIOXIDE_c --> CPD__45__9406_c + PROTON_c	49	model candidate index + interpretable reaction mnemonic
co2	13	13_GCD	GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	Crotonyl-CoA carboxylation	CARBON__45__DIOXIDE_c + CROTONYL__45__COA_c --> GLUTACONYL__45__COA_c + PROTON_c	49	model candidate index + interpretable reaction mnemonic
co2	14	14_GCV	GCV	GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	Reverse glycine-cleavage carboxylation	AMMONIUM_c + CARBON__45__DIOXIDE_c + METHYLENE__45__THF_c + NADH_c --> GLY_c + NAD_c + THF_c	49	model candidate index + interpretable reaction mnemonic
co2	15	15_OFOR	OFOR	2-OXOBUTYRATE-SYNTHASE-RXN	Propanoyl-CoA reductive carboxylation	CARBON__45__DIOXIDE_c + PROPIONYL__45__COA_c + PROTON_c + 2.0 Reduced__45__ferredoxins_c --> CO__45__A_c + 2.0 Oxidized__45__ferredoxins_c + _2__45__OXOBUTANOATE_c	49	model candidate index + interpretable reaction mnemonic
