substrate	carbon_class	candidate_number	reaction_code	reaction_id	pathway_count	step_min	step_q1	step_median	step_mean	step_q3	step_max	single_reaction_pathway_count	single_reaction_step_median	le20_pathway_denominator	le20_occurrence_count	le20_occurrence_percent
co2	C2	1	01_CCR	RXN-8957	726	12.0	36.0	45.0	46.59779614325069	57.0	81.0	6	58.0	407	31	7.616707616707616
co2	C3	1	01_CCR	RXN-8957	847	17.0	26.0	31.0	36.24085005903188	46.0	79.0	7	56.0	598	36	6.0200668896321075
co2	C4	1	01_CCR	RXN-8957	1089	18.0	38.0	49.0	49.71349862258953	61.0	83.0	9	56.0	296	11	3.7162162162162162
co2	C2	2	02_CCR	RXN-18384	726	8.0	27.0	33.0	33.99862258953168	41.0	83.0	6	18.5	407	70	17.1990171990172
co2	C3	2	02_CCR	RXN-18384	847	12.0	23.0	26.0	29.817001180637543	38.0	66.0	7	23.0	598	93	15.551839464882944
co2	C4	2	02_CCR	RXN-18384	1089	13.0	30.0	35.0	36.258034894398534	41.0	81.0	9	23.0	296	43	14.527027027027026
co2	C2	3	03_ACC	ACETYL-COA-CARBOXYLTRANSFER-RXN	726	12.0	31.0	38.0	41.34848484848485	49.75	81.0	6	37.5	407	39	9.582309582309582
co2	C3	3	03_ACC	ACETYL-COA-CARBOXYLTRANSFER-RXN	847	11.0	23.0	28.0	33.55489964580874	43.0	80.0	7	38.0	598	145	24.247491638795985
co2	C4	3	03_ACC	ACETYL-COA-CARBOXYLTRANSFER-RXN	1089	14.0	33.0	40.0	44.907254361799815	57.0	85.0	9	41.0	296	35	11.824324324324325
co2	C2	4	04_RBC	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	726	14.0	34.0	38.0	40.82231404958678	46.0	82.0	6	21.0	407	6	1.4742014742014742
co2	C3	4	04_RBC	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	847	13.0	38.0	42.0	42.896103896103895	48.0	77.0	7	17.0	598	16	2.6755852842809364
co2	C4	4	04_RBC	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	1089	13.0	35.0	40.0	42.16161616161616	47.0	81.0	9	20.0	296	8	2.7027027027027026
co2	C2	5	05_PCC	PROPIONYL-COA-CARBOXY-RXN	726	6.0	25.0	32.0	32.633608815426996	39.0	74.0	6	16.5	407	87	21.375921375921376
co2	C3	5	05_PCC	PROPIONYL-COA-CARBOXY-RXN	847	13.0	23.0	26.0	29.425029515938608	37.0	60.0	7	22.0	598	115	19.23076923076923
co2	C4	5	05_PCC	PROPIONYL-COA-CARBOXY-RXN	1089	9.0	28.0	34.0	35.64462809917355	41.0	78.0	9	22.0	296	54	18.243243243243242
co2	C2	6	06_PPC	PEPCARBOX-RXN	726	6.0	25.0	32.0	32.929752066115704	39.0	76.0	6	16.5	407	88	21.62162162162162
co2	C3	6	06_PPC	PEPCARBOX-RXN	847	13.0	23.0	26.0	29.107438016528924	35.0	58.0	7	23.0	598	116	19.39799331103679
co2	C4	6	06_PPC	PEPCARBOX-RXN	1089	9.0	29.0	35.0	35.627180899908176	40.0	85.0	9	22.0	296	52	17.56756756756757
co2	C2	7	07_CFI	RXN-8457	726	5.0	26.25	33.0	34.951790633608816	43.75	83.0	6	21.5	407	57	14.004914004914005
co2	C3	7	07_CFI	RXN-8457	847	9.0	23.0	27.0	30.430932703659977	38.5	62.0	7	26.0	598	104	17.391304347826086
co2	C4	7	07_CFI	RXN-8457	1089	8.0	29.0	36.0	36.91827364554637	42.0	83.0	9	24.0	296	39	13.175675675675675
co2	C2	8	08_PYC	PYRUVATE-CARBOXYLASE-RXN	726	5.0	25.0	32.0	32.490358126721766	39.0	81.0	6	15.5	407	99	24.324324324324323
co2	C3	8	08_PYC	PYRUVATE-CARBOXYLASE-RXN	847	12.0	22.0	26.0	28.825265643447462	35.0	58.0	7	23.0	598	128	21.40468227424749
co2	C4	8	08_PYC	PYRUVATE-CARBOXYLASE-RXN	1089	8.0	28.0	34.0	35.33241505968779	41.0	83.0	9	21.0	296	62	20.945945945945947
co2	C2	9	09_PFOR	PYRUVATE-DEHYDROGENASE-NADP+-RXN	726	5.0	28.0	36.0	37.205234159779614	44.75	83.0	6	25.0	407	55	13.513513513513514
co2	C3	9	09_PFOR	PYRUVATE-DEHYDROGENASE-NADP+-RXN	847	8.0	20.0	24.0	28.726092089728454	37.0	80.0	7	17.0	598	256	42.80936454849498
co2	C4	9	09_PFOR	PYRUVATE-DEHYDROGENASE-NADP+-RXN	1089	8.0	30.0	37.0	39.44444444444444	46.0	81.0	9	23.0	296	57	19.256756756756758
co2	C2	10	10_ICC	ISOCITDEH-RXN	726	4.0	26.0	33.0	34.41046831955923	42.0	81.0	6	21.5	407	65	15.97051597051597
co2	C3	10	10_ICC	ISOCITDEH-RXN	847	8.0	23.0	26.0	29.612750885478157	37.5	61.0	7	24.0	598	128	21.40468227424749
co2	C4	10	10_ICC	ISOCITDEH-RXN	1089	7.0	29.0	35.0	36.1900826446281	42.0	79.0	9	24.0	296	53	17.905405405405407
co2	C2	11	11_KOR	OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	726	4.0	30.0	39.0	41.28650137741047	51.0	77.0	6	35.0	407	49	12.039312039312039
co2	C3	11	11_KOR	OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	847	8.0	20.0	28.0	32.71310507674144	42.0	78.0	7	36.0	598	232	38.79598662207358
co2	C4	11	11_KOR	OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	1089	7.0	31.0	41.0	43.26078971533517	54.0	81.0	9	37.0	296	48	16.216216216216218
co2	C2	12	12_ECH	RXN-13029	726	14.0	37.0	45.0	46.67493112947658	57.0	83.0	6	35.0	407	28	6.87960687960688
co2	C3	12	12_ECH	RXN-13029	847	18.0	27.0	31.0	36.7331759149941	46.0	80.0	7	27.0	598	27	4.51505016722408
co2	C4	12	12_ECH	RXN-13029	1089	19.0	37.0	44.0	47.825528007346186	58.0	85.0	9	36.0	296	8	2.7027027027027026
co2	C2	13	13_GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	726	11.0	37.0	47.0	47.680440771349865	58.0	83.0	6	39.0	407	29	7.125307125307125
co2	C3	13	13_GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	847	15.0	26.0	33.0	37.20661157024794	48.0	78.0	7	40.0	598	45	7.525083612040134
co2	C4	13	13_GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	1089	16.0	38.0	49.0	48.803489439853074	59.0	81.0	9	42.0	296	14	4.72972972972973
