substrate,substrate_label,product,product_label,normalized_target_carbon_atoms,product_class,class_order,product_order,retained_pathways,reachable
co2,CO₂,ACETYL__45__COA_c,Acetyl-CoA,2,Central metabolic hubs,0,1,41,True
formaldehyde,Formaldehyde,ACETYL__45__COA_c,Acetyl-CoA,2,Central metabolic hubs,0,1,9,True
formate,Formate,ACETYL__45__COA_c,Acetyl-CoA,2,Central metabolic hubs,0,1,3,True
methanol,Methanol,ACETYL__45__COA_c,Acetyl-CoA,2,Central metabolic hubs,0,1,10,True
co2,CO₂,PYRUVATE_c,Pyruvate,3,Central metabolic hubs,0,4,55,True
formaldehyde,Formaldehyde,PYRUVATE_c,Pyruvate,3,Central metabolic hubs,0,4,4,True
formate,Formate,PYRUVATE_c,Pyruvate,3,Central metabolic hubs,0,4,2,True
methanol,Methanol,PYRUVATE_c,Pyruvate,3,Central metabolic hubs,0,4,12,True
co2,CO₂,G3P_c,3-PG,3,Central metabolic hubs,0,5,21,True
formaldehyde,Formaldehyde,G3P_c,3-PG,3,Central metabolic hubs,0,5,15,True
formate,Formate,G3P_c,3-PG,3,Central metabolic hubs,0,5,3,True
methanol,Methanol,G3P_c,3-PG,3,Central metabolic hubs,0,5,7,True
co2,CO₂,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,3,Central metabolic hubs,0,11,20,True
formaldehyde,Formaldehyde,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,3,Central metabolic hubs,0,11,4,True
formate,Formate,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,3,Central metabolic hubs,0,11,3,True
methanol,Methanol,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,3,Central metabolic hubs,0,11,7,True
co2,CO₂,GLYOX_c,Glyoxylate,2,TCA/glyoxylate intermediates,1,2,26,True
formaldehyde,Formaldehyde,GLYOX_c,Glyoxylate,2,TCA/glyoxylate intermediates,1,2,16,True
formate,Formate,GLYOX_c,Glyoxylate,2,TCA/glyoxylate intermediates,1,2,0,False
methanol,Methanol,GLYOX_c,Glyoxylate,2,TCA/glyoxylate intermediates,1,2,6,True
co2,CO₂,OXALACETIC_ACID_c,OAA,4,TCA/glyoxylate intermediates,1,7,13,True
formaldehyde,Formaldehyde,OXALACETIC_ACID_c,OAA,4,TCA/glyoxylate intermediates,1,7,3,True
formate,Formate,OXALACETIC_ACID_c,OAA,4,TCA/glyoxylate intermediates,1,7,0,False
methanol,Methanol,OXALACETIC_ACID_c,OAA,4,TCA/glyoxylate intermediates,1,7,0,False
co2,CO₂,MAL_c,L-Malate,4,TCA/glyoxylate intermediates,1,8,12,True
formaldehyde,Formaldehyde,MAL_c,L-Malate,4,TCA/glyoxylate intermediates,1,8,3,True
formate,Formate,MAL_c,L-Malate,4,TCA/glyoxylate intermediates,1,8,0,False
methanol,Methanol,MAL_c,L-Malate,4,TCA/glyoxylate intermediates,1,8,0,False
co2,CO₂,SUC_c,Succinate,4,TCA/glyoxylate intermediates,1,9,18,True
formaldehyde,Formaldehyde,SUC_c,Succinate,4,TCA/glyoxylate intermediates,1,9,3,True
formate,Formate,SUC_c,Succinate,4,TCA/glyoxylate intermediates,1,9,0,False
